Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OfflineClass,,,,2022-12-21 03:44:23,2022-12-21 03:47:42,3m - 18.760s,FAILED
,,,,,,,
Test Cases/Booking/Offline/TC_BookingClassOffline,,,,2022-12-21 03:44:23,2022-12-21 03:45:22,58.430s,FAILED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 03:44:24,2022-12-21 03:44:47,23.558s,PASSED
"tap(findTestObject(""Object Repository/Search/S1/android.view.View""), 0)",,,,2022-12-21 03:44:47,2022-12-21 03:44:49,1.369s,PASSED
"tap(findTestObject(""Object Repository/Search/S1/android.widget.EditText - email address""), 0)",,,,2022-12-21 03:44:49,2022-12-21 03:44:50,1.223s,PASSED
"setText(findTestObject(""Object Repository/Search/S1/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 03:44:50,2022-12-21 03:45:22,31.957s,FAILED
,,,,,,,
Test Cases/Booking/Offline/TC_BookingClassOffline_02,,,,2022-12-21 03:45:22,2022-12-21 03:45:22,0.197s,PASSED
return null,,,,2022-12-21 03:45:22,2022-12-21 03:45:22,0.000s,PASSED
,,,,,,,
Test Cases/Booking/Offline/TC_BookingClassOffline_03,,,,2022-12-21 03:45:22,2022-12-21 03:46:05,43.318s,PASSED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 03:45:22,2022-12-21 03:45:41,18.853s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.view.View""), 0)",,,,2022-12-21 03:45:41,2022-12-21 03:45:43,2.157s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.EditText - email address""), 0)",,,,2022-12-21 03:45:43,2022-12-21 03:45:45,1.321s,PASSED
"setText(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 03:45:45,2022-12-21 03:45:46,1.401s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.EditText - password""), 0)",,,,2022-12-21 03:45:46,2022-12-21 03:45:47,1.446s,PASSED
"setText(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.EditText (1)""), ""12344321"", 0)",,,,2022-12-21 03:45:47,2022-12-21 03:45:48,0.348s,PASSED
hideKeyboard(),,,,2022-12-21 03:45:48,2022-12-21 03:45:51,3.087s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button""), 0)",,,,2022-12-21 03:45:51,2022-12-21 03:45:53,1.633s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.ImageView""), 0)",,,,2022-12-21 03:45:53,2022-12-21 03:45:54,1.294s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (1)""), 0)",,,,2022-12-21 03:45:54,2022-12-21 03:45:56,2.068s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.ImageView (1)""), 0)",,,,2022-12-21 03:45:56,2022-12-21 03:45:56,0.231s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (2)""), 0)",,,,2022-12-21 03:45:56,2022-12-21 03:45:58,1.581s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (3)""), 0)",,,,2022-12-21 03:45:58,2022-12-21 03:45:59,1.413s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (4)""), 0)",,,,2022-12-21 03:45:59,2022-12-21 03:46:00,1.182s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (5)""), 0)",,,,2022-12-21 03:46:00,2022-12-21 03:46:01,1.127s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (6)""), 0)",,,,2022-12-21 03:46:01,2022-12-21 03:46:03,1.055s,PASSED
"tap(findTestObject(""Object Repository/BookingOffline/Book6/android.widget.Button (7)""), 0)",,,,2022-12-21 03:46:03,2022-12-21 03:46:04,1.068s,PASSED
"verifyElementText(findTestObject(""Object Repository/BookingOffline/Book6/android.view.View (1)""), """")",,,,2022-12-21 03:46:04,2022-12-21 03:46:04,0.218s,PASSED
closeApplication(),,,,2022-12-21 03:46:04,2022-12-21 03:46:05,1.616s,PASSED
,,,,,,,
Test Cases/Booking/Offline/TC_BookingClassOffline_04,,,,2022-12-21 03:46:05,2022-12-21 03:46:50,44.278s,PASSED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 03:46:06,2022-12-21 03:46:29,23.433s,PASSED
"tap(findTestObject(""Object Repository/Booking1/Book4/android.view.View""), 0)",,,,2022-12-21 03:46:29,2022-12-21 03:46:31,2.101s,PASSED
"tap(findTestObject(""Object Repository/Booking1/Book4/android.widget.EditText - email address""), 0)",,,,2022-12-21 03:46:31,2022-12-21 03:46:32,1.249s,PASSED
"setText(findTestObject(""Object Repository/Booking1/Book4/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 03:46:32,2022-12-21 03:46:34,1.396s,PASSED
"tap(findTestObject(""Object Repository/Booking1/Book4/android.widget.EditText - password""), 0)",,,,2022-12-21 03:46:34,2022-12-21 03:46:35,0.740s,PASSED
"setText(findTestObject(""Object Repository/Booking1/Book4/android.widget.EditText (1)""), ""12344321"", 0)",,,,2022-12-21 03:46:35,2022-12-21 03:46:36,0.948s,PASSED
