Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OnlineClass,,,,2022-12-21 04:14:55,2022-12-21 04:17:51,2m - 55.536s,PASSED
,,,,,,,
Test Cases/Booking/Online/TC_BookingClassOnline,,,,2022-12-21 04:14:55,2022-12-21 04:15:41,45.312s,PASSED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 04:14:56,2022-12-21 04:15:21,25.099s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.view.View""), 0)",,,,2022-12-21 04:15:21,2022-12-21 04:15:22,1.321s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.EditText - email address""), 0)",,,,2022-12-21 04:15:22,2022-12-21 04:15:24,2.424s,PASSED
"setText(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 04:15:24,2022-12-21 04:15:25,0.366s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.EditText - password""), 0)",,,,2022-12-21 04:15:25,2022-12-21 04:15:26,0.738s,PASSED
"setText(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.EditText (1)""), ""12344321"", 0)",,,,2022-12-21 04:15:26,2022-12-21 04:15:27,0.938s,PASSED
hideKeyboard(),,,,2022-12-21 04:15:27,2022-12-21 04:15:30,3.173s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.Button""), 0)",,,,2022-12-21 04:15:30,2022-12-21 04:15:31,1.235s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.ImageView""), 0)",,,,2022-12-21 04:15:31,2022-12-21 04:15:33,2.209s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.Button (1)""), 0)",,,,2022-12-21 04:15:33,2022-12-21 04:15:34,1.246s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.view.View (1)""), 0)",,,,2022-12-21 04:15:34,2022-12-21 04:15:35,1.105s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.view.View (2)""), 0)",,,,2022-12-21 04:15:35,2022-12-21 04:15:36,0.298s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.Button (2)""), 0)",,,,2022-12-21 04:15:36,2022-12-21 04:15:37,1.543s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book1/android.widget.Button (3)""), 0)",,,,2022-12-21 04:15:37,2022-12-21 04:15:38,0.986s,PASSED
"verifyElementText(findTestObject(""Object Repository/BookingOnline/Book1/android.view.View (3)""), """")",,,,2022-12-21 04:15:38,2022-12-21 04:15:39,0.232s,PASSED
closeApplication(),,,,2022-12-21 04:15:39,2022-12-21 04:15:41,2.071s,PASSED
,,,,,,,
Test Cases/Booking/Online/TC_BookingClassOnline_02,,,,2022-12-21 04:15:41,2022-12-21 04:16:25,44.876s,PASSED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 04:15:41,2022-12-21 04:16:03,21.860s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.view.View""), 0)",,,,2022-12-21 04:16:03,2022-12-21 04:16:05,2.155s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.EditText - email address""), 0)",,,,2022-12-21 04:16:05,2022-12-21 04:16:06,1.281s,PASSED
"setText(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 04:16:06,2022-12-21 04:16:08,1.405s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.EditText - password""), 0)",,,,2022-12-21 04:16:08,2022-12-21 04:16:08,0.744s,PASSED
"setText(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.EditText (1)""), ""12344321"", 0)",,,,2022-12-21 04:16:08,2022-12-21 04:16:09,0.926s,PASSED
hideKeyboard(),,,,2022-12-21 04:16:09,2022-12-21 04:16:12,3.125s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.Button""), 0)",,,,2022-12-21 04:16:12,2022-12-21 04:16:14,1.194s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.ImageView""), 0)",,,,2022-12-21 04:16:14,2022-12-21 04:16:15,1.118s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.widget.Button (1)""), 0)",,,,2022-12-21 04:16:15,2022-12-21 04:16:17,1.901s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.view.View (1)""), 0)",,,,2022-12-21 04:16:17,2022-12-21 04:16:17,0.233s,PASSED
"tap(findTestObject(""Object Repository/BookingOnline/Book2/android.view.View (2)""), 0)",,,,2022-12-21 04:16:17,2022-12-21 04:16:18,1.073s,PASSED
