Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,,,,2022-12-21 12:43:09,2022-12-21 12:50:18,7m - 9.495s,PASSED
,,,,,,,
Test Cases/Summary/TC_Summary_01,,,,2022-12-21 12:43:09,2022-12-21 12:43:52,43.132s,PASSED
"startApplication(""E:\SEMESTER 7\MBKM\Capstone Project\CICD\Aplikasi\Terbaru\app-release.apk"", true)",,,,2022-12-21 12:43:10,2022-12-21 12:43:34,24.191s,PASSED
"tap(findTestObject(""Object Repository/Summary/Online/android.view.View (2)""), 0)",,,,2022-12-21 12:43:34,2022-12-21 12:43:35,1.108s,PASSED
"tap(findTestObject(""Object Repository/Summary/Online/android.widget.EditText - email address""), 0)",,,,2022-12-21 12:43:35,2022-12-21 12:43:37,1.685s,PASSED
"setText(findTestObject(""Object Repository/Summary/Online/android.widget.EditText""), ""qe1@gmail.com"", 0)",,,,2022-12-21 12:43:37,2022-12-21 12:43:38,1.400s,PASSED
"tap(findTestObject(""Object Repository/Summary/Online/android.widget.EditText - password""), 0)",,,,2022-12-21 12:43:38,2022-12-21 12:43:39,0.742s,PASSED
"setText(findTestObject(""Object Repository/Summary/Online/android.widget.EditText (1)""), ""12344321"", 0)",,,,2022-12-21 12:43:39,2022-12-21 12:43:40,1.039s,PASSED
hideKeyboard(),,,,2022-12-21 12:43:40,2022-12-21 12:43:43,2.997s,PASSED
"tap(findTestObject(""Object Repository/Summary/Online/android.widget.Button (1)""), 0)",,,,2022-12-21 12:43:43,2022-12-21 12:43:44,1.791s,PASSED
"tap(findTestObject(""Object Repository/Summary/1/android.widget.ImageView""), 0)",,,,2022-12-21 12:43:44,2022-12-21 12:43:47,2.100s,PASSED
"tap(findTestObject(""Object Repository/Summary/1/android.widget.EditText - Search""), 0)",,,,2022-12-21 12:43:47,2022-12-21 12:43:47,0.359s,PASSED
"setText(findTestObject(""Object Repository/Summary/1/android.widget.EditText""), ""Zumba"", 0)",,,,2022-12-21 12:43:47,2022-12-21 12:43:49,1.780s,PASSED
"tap(findTestObject(""Object Repository/Summary/1/android.view.View""), 0)",,,,2022-12-21 12:43:49,2022-12-21 12:43:50,1.080s,PASSED
"verifyElementText(findTestObject(""Object Repository/Summary/1/android.view.View (1)""), """")",,,,2022-12-21 12:43:50,2022-12-21 12:43:51,0.936s,PASSED
closeApplication(),,,,2022-12-21 12:43:51,2022-12-21 12:43:52,1.592s,PASSED
,,,,,,,
